100000000A,國民大會
331950000J,輔導會太平榮譽國民之家
331960000J,輔導會花蓮榮譽國民之家
331970000J,輔導會佳里榮譽國民之家
332010000A,輔導會桃園縣榮民服務處
332030000A,輔導會苗栗縣榮民服務處
332050000A,輔導會彰化縣榮民服務處
332060000A,輔導會南投縣榮民服務處
332070000A,輔導會雲林縣榮民服務處
332110000A,輔導會屏東縣榮民服務處
332120000A,輔導會臺東縣榮民服務處
332130000A,輔導會花蓮縣榮民服務處
332140000A,輔導會宜蘭縣榮民服務處
332150000A,輔導會澎湖縣榮民服務處
332160000A,輔導會金門縣榮民服務處
332170000A,輔導會臺北市榮民服務處
332190000A,輔導會臺中市榮民服務處
332210000A,輔導會臺南市榮民服務處
332220000A,輔導會高雄市榮民服務處
332230000A,輔導會基隆市榮民服務處
332250000A,輔導會新竹榮民服務處
332260000A,輔導會嘉義榮民服務處
332270000A,行政院國軍退除役官兵輔導委員會臺中市豐原榮民服務處
332280000A,輔導會臺南市新營榮民服務處
332290000A,輔導會高雄市鳳山榮民服務處
332300000J,輔導會花蓮榮民自費安養中心
332310000J,輔導會彰化榮民自費安養中心
332330000J,輔導會八德榮民自費安養中心
332340000J,輔導會楠梓榮民自費安養中心
332360000J,輔導會臺北榮譽國民之家
332370000J,行政院國軍退除役官兵輔導委員會訓練中心
332380000A,行政院國軍退除役官兵輔導委員會新北市榮民服務處
332400000G,輔導會榮民森林保育事業管理處
332400100G,輔導會榮民森林保育事業管理處木材加工廠
332400200G,輔導會榮民森林保育事業管理處林業工作隊
332418100K,榮民工程股份有限公司沙烏地分公司
332418300K,榮民工程股份有限公司新加坡分公司
332418400K,榮民工程股份有限公司馬來西亞分公司
332800000P,輔導會臺北榮民總醫院
332800400P,臺北榮民總醫院蘇澳分院
332800500P,臺北榮民總醫院桃園分院
332800600P,臺北榮民總醫院新竹分院
332810000P,輔導會臺中榮民總醫院
332810100P,臺中榮民總醫院嘉義分院
332810200P,臺中榮民總醫院埔里分院
332820000P,輔導會高雄榮民總醫院
332820100P,高雄榮民總醫院屏東分院
332820200P,高雄榮民總醫院臺南分院
332840000P,輔導會臺東榮民醫院
337000000G,行政院原子能委員會
337010000G,行政院原子能委員會核能研究所
337040000G,行政院原子能委員會放射性物料管理局
337050000G,行政院原子能委員會輻射偵測中心
339000000G,行政院國家科學委員會
339010000G,科學工業園區管理局
339050000G,南部科學工業園區管理局
339080000G,行政院國科會中部科學工業園區管理局
340490000G,駐南非代表處科技組
3409990009,國家建設研究委員會
341000000A,行政院研究發展考核委員會
341020000A,檔案管理局
345000000G,行政院農業委員會
345020000G,行政院農業委員會漁業署
345020200E,行政院農業委員會漁業署漁業廣播電臺
345030000G,行政院農業委員會動植物防疫檢疫局
345030100G,行政院農業委員會動植物防疫檢疫局基隆分局
345030200G,行政院農業委員會動植物防疫檢疫局新竹分局
345030300G,行政院農業委員會動植物防疫檢疫局臺中分局
345030400G,行政院農業委員會動植物防疫檢疫局高雄分局
345040000G,行政院農業委員會林務局
345040100G,行政院農業委員會林務局羅東林區管理處
345040200G,行政院農業委員會林務局新竹林區管理處
345040300G,行政院農業委員會林務局東勢林區管理處
345040400G,行政院農業委員會林務局南投林區管理處
345040500G,行政院農業委員會林務局嘉義林區管理處
345040600G,行政院農業委員會林務局屏東林區管理處
345040700G,行政院農業委員會林務局臺東林區管理處
345040800G,行政院農業委員會林務局花蓮林區管理處
345042000G,行政院農業委員會林務局農林航空測量所
345050000G,行政院農業委員會水土保持局
345050700G,行政院農業委員會水土保持局臺北分局
345050800G,行政院農業委員會水土保持局臺中分局
345050900G,行政院農業委員會水土保持局南投分局
345051000G,行政院農業委員會水土保持局臺南分局
345051100G,行政院農業委員會水土保持局臺東分局
345051200G,行政院農業委員會水土保持局花蓮分局
345060000D,行政院農業委員會農業金融局
345070000G,行政院農業委員會農糧署
345070100G,行政院農業委員會農糧署北區分署
345070200G,行政院農業委員會農糧署中區分署
345070300G,行政院農業委員會農糧署南區分署
345070400G,行政院農業委員會農糧署東區分署
345210000G,行政院農業委員會農業試驗所
345210100G,行政院農委會農業試驗所嘉義農業試驗分所
345210200G,農業委員會農業試驗所鳳山熱帶園藝試驗分所
345220000G,行政院農業委員會林業試驗所
345230000G,行政院農業委員會水產試驗所
345240000G,行政院農業委員會畜產試驗所
345240100G,行政院農業委員會畜產試驗所恆春分所
345240200G,行政院農業委員會畜產試驗所新竹分所
345240300G,行政院農業委員會畜產試驗所宜蘭分所
345241100G,行政院農業委員會畜產試驗所彰化種畜繁殖場
345241200G,行政院農業委員會畜產試驗所高雄種畜繁殖場
345241300G,行政院農業委員會畜產試驗所臺東種畜繁殖場
345241400G,行政院農業委員會畜產試驗所花蓮種畜繁殖場
345250000G,行政院農業委員會家畜衛生試驗所
345250100G,農委會家畜衛生試驗所動物用藥品檢定分所
345260000G,行政院農業委員會農業藥物毒物試驗所
345270000G,行政院農業委員會特有生物研究保育中心
345310000G,行政院農業委員會桃園區農業改良場
345320000G,行政院農業委員會苗栗區農業改良場
345330000G,行政院農業委員會臺中區農業改良場
345340000G,行政院農業委員會臺南區農業改良場
345350000G,行政院農業委員會高雄區農業改良場
345360000G,行政院農業委員會花蓮區農業改良場
345370000G,行政院農業委員會臺東區農業改良場
345410000G,行政院農業委員會茶業改良場
345410100G,行政院農業委員會茶業改良場魚池分場
345410200G,行政院農業委員會茶業改良場文山分場
345410300G,行政院農業委員會茶業改良場臺東分場
345420000G,行政院農業委員會種苗改良繁殖場
345430000G,農業委員會屏東農業生物技術園區籌備處
354000000J,行政院勞工委員會
354010000J,行政院勞工委員會職業訓練局
354010100J,行政院勞工委員會職訓局泰山職業訓練中心
354010200J,行政院勞工委員會職訓局中區職業訓練中心
354010300J,行政院勞工委員會職訓局北區職業訓練中心
354010400J,行政院勞工委員會職訓局南區職業訓練中心
354010500J,行政院勞工委員會職訓局桃園職業訓練中心
354010600J,行政院勞工委員會職訓局臺南職業訓練中心
354010700J,行政院勞工委員會職業訓練局青年職業訓練中心
354013600J,勞委會職訓局北基宜花金馬區就業服務中心
354013700J,勞工委員會職訓局桃竹苗區就業服務中心
354013800J,勞工委員會職訓局中彰投區就業服務中心
354013900J,勞工委員會職訓局雲嘉南區就業服務中心
354014000J,勞工委員會職訓局高屏澎東區就業服務中心
354020000J,行政院勞工委員會勞工安全衛生研究所
354030000J,行政院勞工委員會勞工教育學苑
354210000J,行政院勞工委員會北區勞動檢查所
354220000J,行政院勞工委員會中區勞動檢查所
354230000J,行政院勞工委員會南區勞動檢查所
354450000J,勞工退休基金監理會
354500000N,勞工保險監理委員會
354510000N,勞工保險局
355000000I,行政院環境保護署
355010000I,行政院環境保護署環境檢驗所
355020000I,行政院環境保護署環境保護人員訓練所
356000000A,行政院政黨審議委員會
357000000A,行政院大陸委員會
357010000A,行政院大陸委員會香港事務局
357020000A,行政院大陸委員會澳門事務處
360000000G,行政院公共工程委員會
363000000C,行政院海岸巡防署
363010000C,行政院海岸巡防署海岸巡防總局
363010100C,行政院海巡署海岸巡防總局北部地區巡防局
363010200C,行政院海巡署海岸巡防總局中部地區巡防局
363010300C,行政院海巡署海岸巡防總局南部地區巡防局
363010400C,行政院海巡署海岸巡防總局東部地區巡防局
363020000C,行政院海岸巡防署海洋巡防總局
365000000A,行政院原住民族委員會
365010000E,行政院原住民族委員會文化園區管理局
371000000A,福建省政府
371010100A,金門縣金城鎮公所
371010200A,金門縣金湖鎮公所
371010300A,金門縣金沙鎮公所
371010311I,金門縣金沙鎮清潔隊
371010400A,金門縣金寧鄉公所
371010411I,金門縣金寧鄉清潔隊
371010600A,金門縣金城鎮戶政事務所
371010700A,金門縣金湖鎮戶政事務所
371010800A,金門縣金沙鎮戶政事務所
371010900A,金門縣金寧鄉戶政事務所
371011000A,金門縣烈嶼鄉公所
371011011I,金門縣烈嶼鄉清潔隊
371011100A,金門縣烏坵鄉公所
371011200A,金門縣烈嶼鄉戶政事務所
371011600A,金門縣地政局
371011700I,金門縣環境保護局
371011900C,金門縣消防局
371012100C,金門縣警察局
371012102C,金門縣警察局交通警察隊
371012103C,金門縣警察局保安警察隊
371012105C,金門縣警察局少年警察隊
371012111C,金門縣警察局金城分局
371012112C,金門縣警察局金湖分局
371012141C,金門縣警察局刑事警察大隊
371012200D,金門縣稅捐稽徵處
371012400E,金門縣文化局
371012500E,金門縣立體育場
371012600G,金門縣農業試驗所
371012700G,金門縣水產試驗所
371012900G,金門縣林務所
371013100G,金門縣畜產試驗所
371013500H,金門縣公路監理所
371013700I,金門縣衛生局
371013701I,金門縣金城鎮衛生所
371013702I,金門縣金沙鎮衛生所
371013703I,金門縣金寧鄉衛生所
371013704I,金門縣烈嶼鄉衛生所
371013705I,金門縣金湖鎮衛生所
371013800G,金門縣動植物防疫所
371014200G,金門縣養護工程所
371014300J,金門縣殯葬管理所
371014400J,金門縣大同之家
371014900L,金門縣陶瓷廠
371015700A,金門縣物資處
371016000A,金門縣港務處
371020000A,金門縣政府
371026100M,福建省金門縣車輛行車事故鑑定委員會
371026200L,金門酒廠實業股份有限公司
